hospital_id,hospital_fns_id,region,row_index,21_value,22_value
101100,103,,8139,30402083,21385066
102100,203,,8142,44850918,19773728
201319,204,,8143,2465687,941430
103100,303,,8146,53134618,42003684
103101,304,,8147,18123688,9167070
103102,305,,8148,4549364,2287008
103103,306,,8149,2426618,689939
103104,307,,8150,1526268,590227
104100,403,,8154,27590456,15811936
104101,404,,8155,1869166,396354
104103,406,,8157,12720441,6718989
104104,407,,8158,1740794,349181
105100,503,,8161,29923673,24475318
105101,504,,8162,31000432,26127682
105102,505,,8163,19145227,10101526
105103,506,,8164,6332512,1885637
105104,507,,8165,3007518,1199536
105105,508,,8166,1890347,532205
105106,509,,8167,1596879,616857
105107,5010,,8168,2228996,799236
105108,5011,,8169,2940537,972550
106100,603,,8172,50137410,33083454
106103,604,,8173,12604132,7342081
106104,605,,8174,5412274,1923720
106105,606,,8175,2238813,797356
106102,607,,8176,12334151,5986307
107100,703,,8180,52740732,41307729
107101,704,,8181,19476598,12419560
107102,705,,8182,16974287,8353811
107103,706,,8183,4848724,1355458
107110,707,,8184,2765778,690272
107104,708,,8185,5096257,1518570
107105,709,,8186,4465720,1242188
107106,7010,,8187,1867582,694441
107107,7011,,8188,1446528,392999
107108,7012,,8189,3371114,1638279
107109,7013,,8190,5032254,1855894
108100,803,,8193,16771028,8297405
108101,804,,8194,13758529,7118840
108102,805,,8195,2639944,646723
108104,806,,8196,1580880,376614
108105,807,,8197,6668078,2241168
115100,903,,8204,55165957,37434344
115101,904,,8205,2835834,732489
115102,905,,8206,1671324,431729
115103,906,,8207,2198007,731766
115104,907,,8208,5823829,9831070
115105,908,,8209,3744439,2239921
115106,909,,8210,1492102,411295
115107,9010,,8211,14230417,11206359
115108,9011,,8212,2684015,850229
115109,9012,,8213,1514048,387985
115110,9013,,8214,7748052,6645468
115111,9014,,8215,1133613,400934
115112,9015,,8216,1934831,957847
115113,9016,,8217,1144186,414813
115114,9017,,8218,1288375,367123
116100,1003,,8221,24579216,20469806
116101,1004,,8222,2158300,517356
116102,1005,,8223,3275852,682134
116103,1006,,8224,1414358,405979
116104,1007,,8225,1450983,398744
116105,1008,,8226,60325511,34556712
116106,1009,,8227,1693249,331152
116107,10010,,8228,5168507,1605837
116108,10011,,8229,20666216,10771247
116109,10012,,8230,4040510,1388528
116110,10013,,8231,5464767,1821909
116111,10014,,8232,6817752,1997514
116112,10015,,8233,1744774,479516
117101,1103,,8236,46066176,26234223
117102,1104,,8237,13258671,6482604
117103,1105,,8238,3507461,1401768
117104,1106,,8239,2699305,989533
117106,1107,,8240,2677826,1069217
117108,1108,,8241,2921295,1078377
117107,1109,,8242,2459242,1091199
118100,1203,,8247,88017968,64919167
118103,1204,,8248,8136221,8336220
118105,1205,,8249,11949778,3741438
118106,1206,,8250,10148614,3629036
118107,1207,,8251,2031322,611778
118108,1208,,8252,2037315,999149
119100,1303,,8257,45722820,35328529
119101,1304,,8258,8557541,3211934
119102,1305,,8259,8311900,4046336
120107,1404,,8264,2358798,887049
120105,1405,,8265,3408477,1654324
120101,1406,,8266,51178720,41782483
120102,1407,,8267,3914259,1504699
120103,1408,,8268,3406404,1184868
120104,1409,,8269,2742082,1013536
120106,14010,,8270,2970107,1035849
128113,1503,,8273,6363348,3054546
128111,1504,,8274,9792858,3689402
128112,1505,,8275,1679554,825173
128109,1506,,8276,13968584,5130153
128110,1507,,8277,5449433,2132636
129100,1603,,8280,14751714,5824783
129106,1604,,8281,14967415,7109750
129104,1605,,8282,4721941,1488754
129103,1606,,8283,3156015,892649
129101,1607,,8284,2310621,797769
129107,1608,,8285,2984546,948887
129108,1609,,8286,2395078,463499
121113,1704,,8290,2465432,963145
121114,1705,,8291,9630880,7953555
121121,1706,,8292,7897965,4390614
121115,1707,,8293,2457336,897915
121119,1708,,8294,2036338,908851
121117,1709,,8295,7924579,5396991
121116,17010,,8296,1806528,946650
121118,17011,,8297,1970458,647763
