idEstablecimiento,X08221000,X08221100,X08021403,X08180206,X08180207,X08220001,X08220002,X08220003,X08220005,X08222630
101100,117443,9878,12236,0,0,0,0,0,0,0
102100,87524,5739,11113,0,0,0,0,0,0,0
103100,39837,4986,10541,0,0,0,0,0,0,0
103101,74689,9085,10875,0,0,0,0,0,0,0
103102,0,0,0,0,0,30912,80,1303,668,0
103103,0,0,0,0,0,21233,304,2766,7216,0
103104,0,0,0,0,0,22257,3,67,3192,62
104100,80638,9359,3942,0,0,0,0,0,0,0
104101,0,0,0,0,0,19011,393,611,7004,1
104102,0,0,0,0,0,11208,37,526,4784,0
104103,48769,5887,0,0,0,0,0,0,0,0
104104,0,0,0,0,0,16900,3,485,6089,0
105100,74249,9835,8462,0,0,0,0,0,0,0
105101,96932,11216,8763,0,0,0,0,0,0,0
105102,75367,10015,620,0,0,0,0,0,0,0
105103,0,0,0,33679,1645,0,0,0,0,0
105104,0,0,0,0,0,22507,2162,524,29851,205
105105,0,0,0,0,0,3330,0,284,7082,0
105106,0,0,0,0,0,7734,0,66,5839,30
105107,0,0,0,0,0,29687,27,360,3449,1170
105108,0,0,0,0,0,22497,284,1495,4120,0
106100,218380,27747,23376,0,0,0,0,0,0,0
106102,0,0,0,0,0,0,0,0,0,0
106103,97423,10001,3189,0,0,0,0,0,0,0
106104,0,0,0,0,0,0,0,0,0,0
106105,0,0,0,0,0,30798,0,0,0,0
107100,140123,18322,2620,0,0,0,0,0,0,0
107101,104470,7954,10260,0,0,0,0,0,0,0
107102,79336,14647,0,0,0,0,0,0,0,0
107103,0,0,0,0,0,48561,0,3587,0,0
107104,0,0,0,0,0,52850,0,6080,0,0
107105,0,0,0,3474,0,41030,309,41,1484,0
107106,0,0,0,0,0,25954,0,3432,0,0
107107,0,0,0,0,0,9216,7,141,102,0
107108,0,0,0,0,0,49037,0,2748,0,0
107109,0,0,0,0,0,44651,0,0,0,0
107110,0,0,0,0,0,0,0,0,0,0
108100,70594,10164,0,0,0,0,0,0,0,0
108101,78618,9589,0,0,0,0,0,0,0,0
108102,0,0,0,0,0,49742,0,0,0,0
108104,0,0,0,0,0,24735,0,0,0,0
108105,0,0,0,3610,0,0,0,0,0,0
109100,95929,28749,6692,0,0,0,0,0,0,0
109101,106731,0,0,0,0,0,0,0,0,0
109102,24133,0,0,0,0,0,0,0,0,0
109103,0,0,0,0,0,0,0,0,0,0
109104,0,0,0,0,0,19236,0,0,857,101
110100,61019,8626,9102,0,0,0,0,0,0,0
110110,53030,0,0,0,0,0,0,0,0,0
110120,90514,4983,10744,0,0,0,0,0,0,0
110130,0,0,0,40073,7369,0,0,0,0,0
110140,0,0,0,55938,9858,0,0,0,0,0
110150,56725,6627,1945,0,0,0,0,0,0,0
110160,0,0,0,0,0,50279,0,5004,0,0
111100,73544,17832,7039,0,0,0,0,0,0,0
111101,168061,2742,2677,0,0,0,0,0,0,0
111195,59404,0,0,0,0,0,0,0,0,0
111351,0,0,0,11984,0,0,0,0,0,0
112100,63654,0,0,0,0,0,0,0,0,0
112101,40808,28285,1844,0,0,0,0,0,0,0
112102,56669,0,0,0,0,0,0,0,0,0
112103,0,0,0,0,0,0,0,0,0,0
112104,11279,0,0,0,0,0,0,0,0,0
112105,0,0,0,0,0,0,0,0,0,0
112106,0,0,0,0,0,0,0,0,0,0
112107,0,0,0,0,0,12435,2,213,48,0
113100,106146,14390,20432,0,0,0,0,0,0,0
113130,98163,0,0,0,0,0,0,0,0,0
113150,0,0,0,93927,6532,0,0,0,0,0
113160,0,0,0,0,0,0,0,0,0,0
113170,0,0,0,0,0,0,0,0,0,0
113180,91760,18452,7369,0,0,0,0,0,0,0
113190,0,0,0,63542,2276,0,0,0,0,0
114101,169823,33390,6731,0,0,0,0,0,0,0
114102,0,0,0,20407,2011,0,0,0,0,0
114103,114594,26751,5353,0,0,0,0,0,0,0
114104,0,0,0,0,0,0,0,0,0,0
114105,47118,0,0,0,0,0,0,0,0,0
114204,0,0,0,0,0,0,0,0,0,0
115100,121758,7959,6796,0,0,0,0,0,0,0
115101,0,0,0,0,0,46267,0,2597,0,0
115102,0,0,0,0,0,8610,7,855,9515,0
115103,0,0,0,0,0,22740,0,3079,0,273
115104,0,0,0,82955,4582,0,0,0,0,0
115105,0,0,0,0,0,52285,0,5883,0,0
115106,0,0,0,0,0,24932,4,1301,520,0
115107,70343,6791,0,0,0,0,0,0,0,0
115108,0,0,0,0,0,31334,0,0,0,0
115109,0,0,0,0,0,27372,0,511,0,0
115110,0,0,0,58973,3344,0,0,0,0,0
115111,0,0,0,0,0,6269,0,85,124,349
115112,0,0,0,0,0,22674,2,1079,0,603
115113,0,0,0,0,0,7417,7,31,3,0
115114,0,0,0,0,0,9439,0,213,0,0
116100,66821,12164,1778,0,0,0,0,0,0,0
116101,0,0,0,0,0,26018,0,5158,731,0
116102,0,0,0,0,0,38960,0,2331,0,0
116103,0,0,0,0,0,13245,69,356,207,0
116104,0,0,0,0,0,9725,3,327,837,0
116105,80511,14134,4314,0,0,0,0,0,0,0
116106,0,0,0,0,0,3672,0,386,2921,0
116107,0,0,0,40438,1310,0,0,0,0,0
116108,72951,7193,3021,0,0,0,0,0,0,0
116109,0,0,0,0,0,51922,0,1769,0,0
116110,0,0,0,44750,3007,0,0,0,0,0
