hospital_id,region_id,hospital_name,hospital_alternative_name,latitud,longitud,Consultas,GRDxEgreso,Bienes y servicios,Remuneraciones,Dias Cama Disponibles,Consultas Urgencias,Examenes,Quirofanos
101100,15,Hospital Dr. Juan Noé Crevanni (Arica),Hospital Doctor Juan Noé,-18.4827,-70.3126,148783,16025.618400000001,36666453,22610577,113311.0,86299.0,1221029,0
102100,1,Hospital Dr. Ernesto Torres Galdames (Iquique),Hospital Iquique,-20.2139,-70.1383,108226,17192.4264,50593476,22542086,161383.0,81258.0,1312964,282.0
103100,2,Hospital Dr. Leonardo Guzmán (Antofagasta),Hospital de Antofagasta,-23.6597,-70.3959,256743,21805.465999999997,72713992,58421587,196717.0,59805.0,2042206,0
103101,2,Hospital Dr. Carlos Cisternas (Calama),Hospital de Calama,-22.445,-68.9181,73424,9282.2016,29206747,13406369,72833.0,44223.0,777862,0.0
103102,2,Hospital Dr. Marcos Macuada (Tocopilla),Hospital de Tocopilla,-22.0882,-70.1929,6003,1053.8436120416927,5419740,2298437,14564.0,26633.0,152600,0.0
103103,2,Hospital 21 de Mayo (Taltal),Hospital de Taltal,-25.4036,-70.4869,1474,623.8767201315651,3123544,719698,8008.0,20022.0,73105,0.0
103104,2,Hospital de Mejillones,Hospital de Mejillones,-23.0931,-70.4575,29,189.60376995148908,2504970,643609,3285.0,14522.0,59537,0.0
104100,3,Hospital San José del Carmen (Copiapó),Hospital Regional de Copiapó,-27.3668,-70.3417,114194,10081.7964,30935922,19262895,110991.0,65428.0,808407,0.0
104101,3,Hospital Dr. Jerónimo Méndez Arancibia (Chañaral),Hospital de Chañaral,-26.3442,-70.6071,0,400.2508896028628,2063690,463972,13715.0,16802.0,56514,0.0
104103,3,Hospital Provincial del Huasco Monseñor Fernando Ariztía Ruiz (Vallenar),Hospital de Vallenar,-28.5765,-70.3578,40194,4559.7048,14575353,7708572,41610.0,38901.0,358288,0.0
104104,3,Hospital Dr. Manuel Magalhaes Medling (Huasco),Hospital de Huasco,-28.4568,-70.2929,3,190.67507398214246,1872003,463436,3776.0,10815.0,36849,0.0
105100,4,Hospital San Juan de Dios (La Serena),Hospital La Serena,-29.9065,-70.2432,102266,14655.706800000002,39677943,25996929,122444.0,54642.0,1167277,0
105101,4,Hospital San Pablo (Coquimbo),Hospital Coquimbo,-30.0168,-71.2544,119065,15759.02,42124891,25849170,122749.0,48432.0,845822,0.0
105102,4,Hospital Dr. Antonio Tirado Lanas (Ovalle),Hospital Ovalle,-30.5991,-71.2124,94404,8301.2415,31545087,15982324,80208.0,44073.0,965634,106.0
105103,4,Hospital Dr. Humberto Elorza Cortés (Illapel),Hospital Illapel,-31.6277,-71.3682,45706,2536.0020000000004,9163967,2600740,25935.0,21735.0,189180,68.0
105104,4,Hospital de Salamanca,Hospital Salamanca,-31.6344,-71.3425,505,354.0688292328701,4054933,1566352,6977.0,43409.0,101142,0.0
105105,4,Hospital San Juan de Dios (Combarbalá),Hospital Combarbalá,-31.2125,-71.2355,0,278.9658726167747,2679766,638410,7347.0,7716.0,50315,0.0
105106,4,Hospital Dr. José Arraño (Andacollo),Hospital de Andacollo,-29.9047,-71.5976,0,166.125653630352,2267631,718694,5476.0,7955.0,37453,0.0
105107,4,Hospital San Juan de Dios (Vicuña),Hospital Vicuña,-30.0309,-70.7087,0,575.1968531286104,2868057,934793,10702.0,16537.0,111524,0.0
105108,4,Hospital San Pedro (Los Vilos),Hospital Los Vilos,-31.9075,-71.5144,2913,513.78025137184,4129076,1256234,12405.0,23175.0,120891,0.0
106100,5,Hospital Carlos Van Buren (Valparaíso),Hospital Carlos Van Buren,-33.0458,-71.6229,119851,19339.8975,55729668,31398383,155019.0,74338.0,1240164,1060.0
106103,5,Hospital Claudio Vicuña ( San Antonio),Hospital Claudio Vicuña,-33.5996,-71.5598,34924,5442.7975,13931330,7955457,60422.0,46827.0,469346,0.0
106104,5,Hospital Del Salvador (Valparaíso),Hospital Del Salvador,-33.0472,-71.3567,5969,633.6810091748082,5909921,2149561,31854.0,0.0,0,0.0
106105,5,Hospital San José (Casablanca),Hospital San José Casablanca,-33.3205,-71.4102,0,317.17335954050856,2728224,1052199,4930.0,19934.0,6761,0.0
106102,5,Hospital Dr. Eduardo Pereira Ramírez (Valparaíso),Hospital Doctor Eduardo Pereira,-33.0384,-71.6264,25634,5327.7312,13850893,8599123,56522.0,0.0,636054,0.0
107100,5,Hospital Dr. Gustavo Fricke (Viña del Mar),Hospital Doctor Gustavo Fricke,-33.0214,-71.5537,182060,27367.451999999997,63448444,56035495,193722.0,78385.0,1598317,2814.0
107101,5,Hospital San Martín (Quillota),Hospital de Quillota,-32.8833,-71.2482,72804,8378.8024,22939929,17201007,88781.0,45156.0,974024,0.0
107102,5,Hospital de Quilpué,Hospital de Quilpué,-33.0458,-71.4457,41826,5669.3448,19335026,10228260,53144.0,47224.0,449506,0.0
107103,5,Hospital Dr. Mario Sánchez Vergara (La Calera),Hospital de La Calera,-32.7875,-71.2035,8332,1233.3973241006104,5188767,1572513,15226.0,27344.0,119304,0.0
107110,5,Hospital Centro Geriátrico Paz de la Tarde (Limache),Hospital Geriátrico Paz de la Tarde,-33.0098,-71.2544,1409,508.84074040323145,3081170,698439,22418.0,0.0,29,0.0
107104,5,Hospital Santo Tomás (Limache),Hospital de Limache,-33.0103,-71.2549,1504,1294.3832758462088,6174844,1368945,20805.0,36168.0,122410,0.0
107105,5,Hospital San Agustín (La Ligua),Hospital de La Ligua,-32.4478,-71.2316,8573,905.3877034774232,5222686,1394820,21535.0,24217.0,116073,0.0
107106,5,Hospital Dr. Víctor Hugo Moll (Cabildo),Hospital Cabildo,-32.4285,-71.0639,532,380.2242558422778,2392903,710656,7665.0,17369.0,71253,0.0
107107,5,Hospital de Petorca,Hospital Petorca,-32.2594,-70.9392,792,289.00201992148493,1554672,444995,6570.0,7150.0,6628,0.0
107108,5,Hospital Adriana Cousiño (Quintero),Hospital de Quintero,-32.7844,-71.5269,140,788.098576770781,4233627,1933961,9216.0,30620.0,176714,0.0
107109,5,Hospital Juana Ross de Edwards (Peñablanca - Villa Alemana),Hospital Peñablanca,-33.0424,-71.3724,98,2053.588549965894,5769153,1999694,29220.0,24780.0,121096,0.0
108100,5,Hospital de San Camilo (San Felipe),Hospital San Camilo de San Felipe,-32.7521,-70.7254,65737,9083.9075,21192911,9689381,79880.0,46078.0,785479,395.0
108101,5,Hospital San Juan de Dios (Los Andes),Hospital San Juan de Dios de Los Andes,-32.8325,-70.5984,45963,7165.2636,17133722,8979426,57360.0,49680.0,466177,0.0
108102,5,Hospital San Francisco (Llaillay),Hospital San Francisco de Llay Llay,-32.8377,-70.9502,2198,997.4326590080535,3151898,901849,12450.0,27280.0,106611,0.0
108104,5,Hospital San Antonio (Putaendo),Hospital San Antonio de  Putaendo,-32.6214,-70.7253,23,621.8662382995913,1815737,632145,10220.0,15703.0,5778,0.0
108105,5,Hospital Psiquiátrico Dr. Philippe Pinel (Putaendo),Hospital Psiquiátrico Doctor  Philippe Pinel de Putaendo,-32.6212,-70.7263,0,714.0100187663495,7266148,2468170,94788.0,4991.0,0,0.0
115100,6,Hospital Regional de Rancagua,Hospital Rancagua,-34.1713,-70.7449,143973,25036.1947,65696442,39467625,199181.0,67107.0,2106721,0.0
