hospital_id,region_id,hospital_name,hospital_alternative_name,latitud,longitud,Consultas,Quirofanos,GRDxEgreso,Bienes y servicios,Remuneraciones,Dias Cama Disponibles,Consultas Urgencias,Examenes,year
101100,15,Hospital Dr. Juan Noé Crevanni (Arica),Hospital Doctor Juan Noé,-18.4827,-70.3126,184208.0,0.0,11953.8298,19779705,10982608,113311.0,139557.0,898535.0,2014
102100,1,Hospital Dr. Ernesto Torres Galdames (Iquique),Hospital Iquique,-20.2139,-70.1383,149392.0,0.0,13810.488,27881106,15394204,161383.0,104376.0,756183.0,2014
103100,2,Hospital Dr. Leonardo Guzmán (Antofagasta),Hospital de Antofagasta,-23.6597,-70.3959,154729.0,0.0,15613.328,29969438,15065061,196717.0,55364.0,897022.0,2014
103101,2,Hospital Dr. Carlos Cisternas (Calama),Hospital de Calama,-22.445,-68.9181,36390.0,0.0,6229.0032,11358890,3408115,72833.0,94649.0,403890.0,2014
103102,2,Hospital Dr. Marcos Macuada (Tocopilla),Hospital de Tocopilla,-22.0882,-70.1929,4752.0,0.0,746.24524,3524477,1380911,14564.0,32963.0,148503.0,2014
103103,2,Hospital 21 de Mayo (Taltal),Hospital de Taltal,-25.4036,-70.4869,448.0,0.0,396.31852,1621675,417126,8008.0,31519.0,75829.0,2014
103104,2,Hospital de Mejillones,Hospital de Mejillones,-23.0931,-70.4575,21.0,0.0,110.67758,1016256,196916,3285.0,25581.0,796.0,2014
104100,3,Hospital San José del Carmen (Copiapó),Hospital Regional de Copiapó,-27.3668,-70.3417,111998.0,0.0,8705.45,17876433,11031162,110991.0,93939.0,520767.0,2014
104101,3,Hospital Dr. Jerónimo Méndez Arancibia (Chañaral),Hospital de Chañaral,-26.3442,-70.6071,24.0,0.0,245.14596,1280929,251949,13715.0,27020.0,61107.0,2014
104103,3,Hospital Provincial del Huasco Monseñor Fernando Ariztía Ruiz (Vallenar),Hospital de Vallenar,-28.5765,-70.3578,38109.0,0.0,3718.9992,8586874,4424424,41610.0,54656.0,274020.0,2014
104104,3,Hospital Dr. Manuel Magalhaes Medling (Huasco),Hospital de Huasco,-28.4568,-70.2929,32.0,0.0,98.29524,1315483,241393,3776.0,23477.0,34473.0,2014
105100,4,Hospital San Juan de Dios (La Serena),Hospital La Serena,-29.9065,-70.2432,147428.0,0.0,11811.7664,17866865,13789596,122444.0,92546.0,815563.0,2014
105101,4,Hospital San Pablo (Coquimbo),Hospital Coquimbo,-30.0168,-71.2544,111932.0,0.0,13456.1217,19796143,13948297,122749.0,116911.0,714979.0,2014
105102,4,Hospital Dr. Antonio Tirado Lanas (Ovalle),Hospital Ovalle,-30.5991,-71.2124,91559.0,0.0,5838.453,11496479,5926447,80208.0,86002.0,566134.0,2014
105103,4,Hospital Dr. Humberto Elorza Cortés (Illapel),Hospital Illapel,-31.6277,-71.3682,13055.0,0.0,2253.636,3850898,1100045,25935.0,35324.0,186092.0,2014
105104,4,Hospital de Salamanca,Hospital Salamanca,-31.6344,-71.3425,240.0,0.0,239.8167,1716332,565173,6977.0,55249.0,77928.0,2014
105105,4,Hospital San Juan de Dios (Combarbalá),Hospital Combarbalá,-31.2125,-71.2355,307.0,0.0,181.26822,1251524,304085,7347.0,10696.0,47647.0,2014
105106,4,Hospital Dr. José Arraño (Andacollo),Hospital de Andacollo,-29.9047,-71.5976,348.0,0.0,88.821,1127535,370856,5476.0,13669.0,84152.0,2014
105107,4,Hospital San Juan de Dios (Vicuña),Hospital Vicuña,-30.0309,-70.7087,152.0,0.0,352.3233,1397864,518195,10702.0,34693.0,156053.0,2014
105108,4,Hospital San Pedro (Los Vilos),Hospital Los Vilos,-31.9075,-71.5144,323.0,0.0,375.41676,1839990,561707,12405.0,28396.0,73877.0,2014
106100,5,Hospital Carlos Van Buren (Valparaíso),Hospital Carlos Van Buren,-33.0458,-71.6229,223665.0,0.0,15429.645,33488100,20783099,155019.0,269503.0,1094231.0,2014
106103,5,Hospital Claudio Vicuña ( San Antonio),Hospital Claudio Vicuña,-33.5996,-71.5598,66443.0,0.0,4516.679999999999,8692940,5097645,60422.0,110613.0,505170.0,2014
106104,5,Hospital Del Salvador (Valparaíso),Hospital Del Salvador,-33.0472,-71.3567,18205.0,0.0,350.58946,3504183,1461452,31854.0,0.0,0.0,2014
106105,5,Hospital San José (Casablanca),Hospital San José Casablanca,-33.3205,-71.4102,1205.0,0.0,200.14748,1473414,579158,4930.0,30798.0,9225.0,2014
106102,5,Hospital Dr. Eduardo Pereira Ramírez (Valparaíso),Hospital Doctor Eduardo Pereira,-33.0384,-71.6264,69851.0,0.0,4130.6496,8286791,4369250,56522.0,0.0,1598699.0,2014
107100,5,Hospital Dr. Gustavo Fricke (Viña del Mar),Hospital Doctor Gustavo Fricke,-33.0214,-71.5537,190153.0,0.0,24080.202,33677672,29614260,193722.0,161065.0,1906624.0,2014
